SUPP_REFF,Layer,Asset ID,Drawing Name,Area Code,Direction
MPSB-54,GX_DRAW_XREF,567836,HA549348-AMAR-HSN-J15A-M3-CH-000003.dwg,J15A,MP
MPSB-55,GX_DRAW_XREF,568501,HA549348-AMAR-HSN-J15A-M3-CH-000003.dwg,J15A,MP
MPSB-57,GX_DRAW_XREF,568507,HA549348-AMAR-HSN-J15A-M3-CH-000003.dwg,J15A,MP
MPSB-58,GX_DRAW_XREF,568510,HA549348-AMAR-HSN-J15A-M3-CH-000003.dwg,J15A,MP
MPSB-59,GX_DRAW_XREF,568513,HA549348-AMAR-HSN-J15A-M3-CH-000003.dwg,J15A,MP
MPSB-60,GX_DRAW_XREF,568516,HA549348-AMAR-HSN-J15A-M3-CH-000003.dwg,J15A,MP
MPSB-61,GX_DRAW_XREF,568519,HA549348-AMAR-HSN-J15A-M3-CH-000003.dwg,J15A,MP
MPSB-63,GX_DRAW_XREF,568525,HA549348-AMAR-HSN-J15A-M3-CH-000003.dwg,J15A,MP
MPSB-64,GX_DRAW_XREF,568528,HA549348-AMAR-HSN-J15A-M3-CH-000003.dwg,J15A,MP
MPSB-65,GX_DRAW_XREF,568531,HA549348-AMAR-HSN-J15A-M3-CH-000003.dwg,J15A,MP
MPSB-66,GX_DRAW_XREF,568534,HA549348-AMAR-HSN-J15A-M3-CH-000003.dwg,J15A,MP
MPSB-67,GX_DRAW_XREF,568537,HA549348-AMAR-HSN-J15A-M3-CH-000003.dwg,J15A,MP
MPSB-68,GX_DRAW_XREF,568540,HA549348-AMAR-HSN-J15A-M3-CH-000003.dwg,J15A,MP
MPSB-69,GX_DRAW_XREF,568543,HA549348-AMAR-HSN-J15A-M3-CH-000003.dwg,J15A,MP
MPSB-70,GX_DRAW_XREF,568546,HA549348-AMAR-HSN-J15A-M3-CH-000003.dwg,J15A,MP
MPSB-71,GX_DRAW_XREF,568549,HA549348-AMAR-HSN-J15A-M3-CH-000003.dwg,J15A,MP
MPSB-72,GX_DRAW_XREF,568552,HA549348-AMAR-HSN-J15A-M3-CH-000003.dwg,J15A,MP
MPSB-73,GX_DRAW_XREF,568555,HA549348-AMAR-HSN-J15A-M3-CH-000003.dwg,J15A,MP
MPSB-74,GX_DRAW_XREF,568558,HA549348-AMAR-HSN-J15A-M3-CH-000003.dwg,J15A,MP
MPSB-75,GX_DRAW_XREF,568561,HA549348-AMAR-HSN-J15A-M3-CH-000003.dwg,J15A,MP
MPSB-77,GX_DRAW_XREF,568569,HA549348-AMAR-HSN-J15A-M3-CH-000003.dwg,J15A,MP
MPSB-78,GX_DRAW_XREF,568572,HA549348-AMAR-HSN-J15A-M3-CH-000003.dwg,J15A,MP
MPSB-79,GX_DRAW_XREF,568575,HA549348-AMAR-HSN-J15A-M3-CH-000003.dwg,J15A,MP
MPSB-80,GX_DRAW_XREF,568578,HA549348-AMAR-HSN-J15A-M3-CH-000003.dwg,J15A,MP
MPSB-81,GX_DRAW_XREF,568581,HA549348-AMAR-HSN-J15A-M3-CH-000003.dwg,J15A,MP
MPSB-83,GX_DRAW_XREF,568587,HA549348-AMAR-HSN-J15A-M3-CH-000003.dwg,J15A,MP
MPSB-84,GX_DRAW_XREF,568590,HA549348-AMAR-HSN-J15A-M3-CH-000003.dwg,J15A,MP
MPSB-85,GX_DRAW_XREF,568593,HA549348-AMAR-HSN-J15A-M3-CH-000003.dwg,J15A,MP
MPSB-86,GX_DRAW_XREF,568596,HA549348-AMAR-HSN-J15A-M3-CH-000003.dwg,J15A,MP
MPSB-87,GX_DRAW_XREF,568599,HA549348-AMAR-HSN-J15A-M3-CH-000003.dwg,J15A,MP
MPSB-88,GX_DRAW_XREF,568602,HA549348-AMAR-HSN-J15A-M3-CH-000003.dwg,J15A,MP
MPNB-323,GX_DRAW_XREF,568605,HA549348-AMAR-HSN-J15A-M3-CH-000003.dwg,J15A,MP
MPNB-322,GX_DRAW_XREF,568608,HA549348-AMAR-HSN-J15A-M3-CH-000003.dwg,J15A,MP
MPNB-321,GX_DRAW_XREF,568611,HA549348-AMAR-HSN-J15A-M3-CH-000003.dwg,J15A,MP
MPNB-320,GX_DRAW_XREF,568614,HA549348-AMAR-HSN-J15A-M3-CH-000003.dwg,J15A,MP
