SUPP_REFF,Layer,Asset ID,Drawing Name,Area Code,Direction
MPSB-1,GX_ANNO_TEXT_T_VERIF_0000X,759378,HA549348-AMAR-HSN-J16-M3-CH-000002.dwg,J16,MP
MPSB-2,GX_ANNO_TEXT_T_VERIF_0000X,760044,HA549348-AMAR-HSN-J16-M3-CH-000002.dwg,J16,MP
MPSB-3,GX_ANNO_TEXT_T_VERIF_0000X,760047,HA549348-AMAR-HSN-J16-M3-CH-000002.dwg,J16,MP
MPSB-4,GX_ANNO_TEXT_T_VERIF_0000X,760050,HA549348-AMAR-HSN-J16-M3-CH-000002.dwg,J16,MP
MPSB-5,GX_ANNO_TEXT_T_VERIF_0000X,760055,HA549348-AMAR-HSN-J16-M3-CH-000002.dwg,J16,MP
MPSB-6,GX_ANNO_TEXT_T_VERIF_0000X,760058,HA549348-AMAR-HSN-J16-M3-CH-000002.dwg,J16,MP
MPSB-9,GX_ANNO_TEXT_T_VERIF_0000X,760067,HA549348-AMAR-HSN-J16-M3-CH-000002.dwg,J16,MP
MPSB-10,GX_ANNO_TEXT_T_VERIF_0000X,760070,HA549348-AMAR-HSN-J16-M3-CH-000002.dwg,J16,MP
MPSB-11,GX_ANNO_TEXT_T_VERIF_0000X,760073,HA549348-AMAR-HSN-J16-M3-CH-000002.dwg,J16,MP
MPSB-12,GX_ANNO_TEXT_T_VERIF_0000X,760076,HA549348-AMAR-HSN-J16-M3-CH-000002.dwg,J16,MP
MPSB-13,GX_ANNO_TEXT_T_VERIF_0000X,760079,HA549348-AMAR-HSN-J16-M3-CH-000002.dwg,J16,MP
MPSB-14,GX_ANNO_TEXT_T_VERIF_0000X,760082,HA549348-AMAR-HSN-J16-M3-CH-000002.dwg,J16,MP
MPSB-15,GX_ANNO_TEXT_T_VERIF_0000X,760085,HA549348-AMAR-HSN-J16-M3-CH-000002.dwg,J16,MP
MPSB-16,GX_ANNO_TEXT_T_VERIF_0000X,760088,HA549348-AMAR-HSN-J16-M3-CH-000002.dwg,J16,MP
MPNB-376,GX_ANNO_TEXT_T_VERIF_0000X,760091,HA549348-AMAR-HSN-J16-M3-CH-000002.dwg,J16,MP
MPNB-375,GX_ANNO_TEXT_T_VERIF_0000X,760094,HA549348-AMAR-HSN-J16-M3-CH-000002.dwg,J16,MP
MPNB-374,GX_ANNO_TEXT_T_VERIF_0000X,760097,HA549348-AMAR-HSN-J16-M3-CH-000002.dwg,J16,MP
MPNB-373,GX_ANNO_TEXT_T_VERIF_0000X,760100,HA549348-AMAR-HSN-J16-M3-CH-000002.dwg,J16,MP
MPNB-372,GX_ANNO_TEXT_T_VERIF_0000X,760103,HA549348-AMAR-HSN-J16-M3-CH-000002.dwg,J16,MP
MPNB-371,GX_ANNO_TEXT_T_VERIF_0000X,760106,HA549348-AMAR-HSN-J16-M3-CH-000002.dwg,J16,MP
MPNB-369,GX_ANNO_TEXT_T_VERIF_0000X,760112,HA549348-AMAR-HSN-J16-M3-CH-000002.dwg,J16,MP
MPNB-368,GX_ANNO_TEXT_T_VERIF_0000X,760115,HA549348-AMAR-HSN-J16-M3-CH-000002.dwg,J16,MP
MPNB-367,GX_ANNO_TEXT_T_VERIF_0000X,760118,HA549348-AMAR-HSN-J16-M3-CH-000002.dwg,J16,MP
MPNB-366,GX_ANNO_TEXT_T_VERIF_0000X,760121,HA549348-AMAR-HSN-J16-M3-CH-000002.dwg,J16,MP
MPNB-365,GX_ANNO_TEXT_T_VERIF_0000X,760124,HA549348-AMAR-HSN-J16-M3-CH-000002.dwg,J16,MP
MPNB-364,GX_ANNO_TEXT_T_VERIF_0000X,760127,HA549348-AMAR-HSN-J16-M3-CH-000002.dwg,J16,MP
MPNB-363,GX_ANNO_TEXT_T_VERIF_0000X,760130,HA549348-AMAR-HSN-J16-M3-CH-000002.dwg,J16,MP
MPNB-362,GX_ANNO_TEXT_T_VERIF_0000X,760133,HA549348-AMAR-HSN-J16-M3-CH-000002.dwg,J16,MP
MPNB-361,GX_ANNO_TEXT_T_VERIF_0000X,760136,HA549348-AMAR-HSN-J16-M3-CH-000002.dwg,J16,MP
HMPSB-1,GX_ANNO_TEXT_T_VERIF_0000X,760198,HA549348-AMAR-HSN-J16-M3-CH-000002.dwg,J16,HM
HMPSB-2,GX_ANNO_TEXT_T_VERIF_0000X,760201,HA549348-AMAR-HSN-J16-M3-CH-000002.dwg,J16,HM
HMPSB-3,GX_ANNO_TEXT_T_VERIF_0000X,760204,HA549348-AMAR-HSN-J16-M3-CH-000002.dwg,J16,HM
MPSB-8,GX_ANNO_TEXT_T_VERIF_0000X,762246,HA549348-AMAR-HSN-J16-M3-CH-000002.dwg,J16,MP
MPSB-7,GX_ANNO_TEXT_T_VERIF_0000X,768698,HA549348-AMAR-HSN-J16-M3-CH-000002.dwg,J16,MP
MPNB-370,GX_ANNO_TEXT_T_VERIF_0000X,768737,HA549348-AMAR-HSN-J16-M3-CH-000002.dwg,J16,MP
