SUPP_REFF,Layer,Asset ID,Drawing Name,Area Code,Direction
MPNB-360,GX_ANNO_TEXT_T_VERIF_0000X,567252,HA549348-AMAR-HSN-ML03-M3-CH-000002.dwg,ML03,MP
MPNB-359,GX_ANNO_TEXT_T_VERIF_0000X,567255,HA549348-AMAR-HSN-ML03-M3-CH-000002.dwg,ML03,MP
MPNB-358,GX_ANNO_TEXT_T_VERIF_0000X,567258,HA549348-AMAR-HSN-ML03-M3-CH-000002.dwg,ML03,MP
MPNB-357,GX_ANNO_TEXT_T_VERIF_0000X,567261,HA549348-AMAR-HSN-ML03-M3-CH-000002.dwg,ML03,MP
MPNB-356,GX_ANNO_TEXT_T_VERIF_0000X,567264,HA549348-AMAR-HSN-ML03-M3-CH-000002.dwg,ML03,MP
MPNB-355,GX_ANNO_TEXT_T_VERIF_0000X,567267,HA549348-AMAR-HSN-ML03-M3-CH-000002.dwg,ML03,MP
MPNB-354,GX_ANNO_TEXT_T_VERIF_0000X,567270,HA549348-AMAR-HSN-ML03-M3-CH-000002.dwg,ML03,MP
MPNB-353,GX_ANNO_TEXT_T_VERIF_0000X,567273,HA549348-AMAR-HSN-ML03-M3-CH-000002.dwg,ML03,MP
MPNB-352,GX_ANNO_TEXT_T_VERIF_0000X,567276,HA549348-AMAR-HSN-ML03-M3-CH-000002.dwg,ML03,MP
MPNB-351,GX_ANNO_TEXT_T_VERIF_0000X,567279,HA549348-AMAR-HSN-ML03-M3-CH-000002.dwg,ML03,MP
MPNB-350,GX_ANNO_TEXT_T_VERIF_0000X,567282,HA549348-AMAR-HSN-ML03-M3-CH-000002.dwg,ML03,MP
MPNB-349,GX_ANNO_TEXT_T_VERIF_0000X,567285,HA549348-AMAR-HSN-ML03-M3-CH-000002.dwg,ML03,MP
MPNB-347,GX_ANNO_TEXT_T_VERIF_0000X,567291,HA549348-AMAR-HSN-ML03-M3-CH-000002.dwg,ML03,MP
MPNB-346,GX_ANNO_TEXT_T_VERIF_0000X,567294,HA549348-AMAR-HSN-ML03-M3-CH-000002.dwg,ML03,MP
MPNB-345,GX_ANNO_TEXT_T_VERIF_0000X,567297,HA549348-AMAR-HSN-ML03-M3-CH-000002.dwg,ML03,MP
MPNB-344,GX_ANNO_TEXT_T_VERIF_0000X,567300,HA549348-AMAR-HSN-ML03-M3-CH-000002.dwg,ML03,MP
MPNB-343,GX_ANNO_TEXT_T_VERIF_0000X,567303,HA549348-AMAR-HSN-ML03-M3-CH-000002.dwg,ML03,MP
MPNB-342,GX_ANNO_TEXT_T_VERIF_0000X,567306,HA549348-AMAR-HSN-ML03-M3-CH-000002.dwg,ML03,MP
MPNB-341,GX_ANNO_TEXT_T_VERIF_0000X,567309,HA549348-AMAR-HSN-ML03-M3-CH-000002.dwg,ML03,MP
