Model design id,Date of installation,Departure - DAS ID,Expected service life,Additional information,Access code,Location text,End chainage,End date,Illuminated,Manufacturer,Material,Owner of inventory item,Passively safe,Product name/id,Section,Start chainage,Start date,TSRGD diagram number,Type,Easting,Cross section position,Northing,Current maintenance contract,Currently maintained by,Supplier external reference id,System id,Civil 3D element id,Arup reference ID
HMPNB-1,17/11/2020,,,,,,,,NO,GLASDON VERGEMASTER,OTHER,,YES,HAZARD MARKER POST,,,,561,SELF RIGHTING,494178.247,,238020.705,,,,,654433,IT_SM:IT_SM-M:M1-J13-NB-RTS-BOL-BOL01
HMPNB-2,17/11/2020,,,,,,,,NO,GLASDON VERGEMASTER,OTHER,,YES,HAZARD MARKER POST,,,,561,SELF RIGHTING,494169.532,,238024.978,,,,,654430,IT_SM:IT_SM-M:M1-J13-NB-RTS-BOL-BOL02
HMPNB-3,17/11/2020,,,,,,,,NO,GLASDON VERGEMASTER,OTHER,,YES,HAZARD MARKER POST,,,,561,SELF RIGHTING,494160.336,,238029.418,,,,,654427,IT_SM:IT_SM-M:M1-J13-NB-RTS-BOL-BOL03
HMPNB-4,17/11/2020,,,,,,,,NO,GLASDON VERGEMASTER,OTHER,,YES,HAZARD MARKER POST,,,,561,SELF RIGHTING,492765.127,,238730.977,,,,,754797,IT_SM:IT_SM-M:M1-LK01-NB-RTS-BOL-BOL01
HMPNB-5,17/11/2020,,,,,,,,NO,GLASDON VERGEMASTER,OTHER,,YES,HAZARD MARKER POST,,,,561,SELF RIGHTING,492756.648,,238738.322,,,,,754794,IT_SM:IT_SM-M:M1-LK01-NB-RTS-BOL-BOL02
HMPNB-6,17/11/2020,,,,,,,,NO,GLASDON VERGEMASTER,OTHER,,YES,HAZARD MARKER POST,,,,561,SELF RIGHTING,492749.258,,238744.53,,,,,754791,IT_SM:IT_SM-M:M1-LK01-NB-RTS-BOL-BOL03
HMPNB-7,18/11/2020,,,,,,,,NO,GLASDON VERGEMASTER,OTHER,,YES,HAZARD MARKER POST,,,,561,SELF RIGHTING,491275.382,,239764.326,,,,,754779,IT_SM:IT_SM-M:M1-LK01-NB-RTS-BOL-BOL04
HMPNB-8,18/11/2020,,,,,,,,NO,GLASDON VERGEMASTER,OTHER,,YES,HAZARD MARKER POST,,,,561,SELF RIGHTING,491267.692,,239769.592,,,,,754776,IT_SM:IT_SM-M:M1-LK01-NB-RTS-BOL-BOL05
HMPNB-9,18/11/2020,,,,,,,,NO,GLASDON VERGEMASTER,OTHER,,YES,HAZARD MARKER POST,,,,561,SELF RIGHTING,491258.955,,239775.533,,,,,754773,IT_SM:IT_SM-M:M1-LK01-NB-RTS-BOL-BOL06
HMPNB-10,08/03/2021,,,,,,,,NO,GLASDON VERGEMASTER,OTHER,,YES,HAZARD MARKER POST,,,,561,SELF RIGHTING,489068.204,,240917.957,,,,,575890,IT_SM:IT_SM-M:M1-J14-NB-RTS-BOL-BOL01
HMPNB-11,09/03/2021,,,,,,,,NO,GLASDON VERGEMASTER,OTHER,,YES,HAZARD MARKER POST,,,,561,SELF RIGHTING,489061.399,,240923.482,,,,,575887,IT_SM:IT_SM-M:M1-J14-NB-RTS-BOL-BOL02
HMPNB-12,25/08/2021,,,,,,,,NO,GLASDON VERGEMASTER,OTHER,,YES,HAZARD MARKER POST,,,,561,SELF RIGHTING,489053.624,,240930.05,,,,,575879,IT_SM:IT_SM-M:M1-J14-NB-RTS-BOL-BOL03
