Model design id,Date of installation,Departure - DAS ID,Expected service life,Additional information,Access code,Location text,Colour,End chainage,End date,Manufacturer,Owner of inventory item,Product name/id,Section,Start chainage,Start date,Easting,Cross section position,Northing,Current maintenance contract,Currently maintained by,Supplier external reference id,System id,Civil 3D element id,Arup reference ID
MPNB-1,,,,,72/7,,BLUE,,,,,DISTANCE MARKER POST,,,,495988.028,,237333.712,,,,,654276,IT_SM:IT_SM-M:M1-J13-NB-RMP-RFM-RFM01
MPNB-2,,,,,72/8,,BLUE,,,,,DISTANCE MARKER POST,,,,495889.383,,237370.574,,,,,654273,IT_SM:IT_SM-M:M1-J13-NB-RMP-RFM-RFM02
MPNB-3,,,,,72/9,,BLUE,,,,,DISTANCE MARKER POST,,,,495778.241,,237413.662,,,,,654270,IT_SM:IT_SM-M:M1-J13-NB-RMP-RFM-RFM03
MPNB-4,,,,,73/0,,BLUE,,,,,DISTANCE MARKER POST,,,,495690.322,,237445.679,,,,,654266,IT_SM:IT_SM-M:M1-J13-NB-RMP-RFM-RFM04
MPNB-5,,,,,73/1,,BLUE,,,,,DISTANCE MARKER POST,,,,495603.154,,237466.622,,,,,654263,IT_SM:IT_SM-M:M1-J13-NB-RMP-RFM-RFM05
MPNB-6,19/01/2021,,,,73/2,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,,,,495514.802,,237507.405,,,,,654260,IT_SM:IT_SM-M:M1-J13-NB-RMP-RFM-RFM06
MPNB-7,17/11/2020,,,,73/3,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,,,,495416.349,,237547.367,,,,,654257,IT_SM:IT_SM-M:M1-J13-NB-RMP-RFM-RFM07
MPNB-8,24/02/2021,,,,73/4,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,,,,495324.48,,237585.262,,,,,654254,IT_SM:IT_SM-M:M1-J13-NB-RMP-RFM-RFM08
MPNB-9,16/11/2020,,,,73/5,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,,,,495230.453,,237623.116,,,,,654251,IT_SM:IT_SM-M:M1-J13-NB-RMP-RFM-RFM09
MPNB-10,16/11/2020,,,,73/6,,OTHER,,,BLAKEDALE,,DISTANCE MARKER POST,,,,495138.21,,237658.121,,,,,656236,IT_SM:IT_SM-M:M1-J13-NB-RMP-RFM-RFM10
MPNB-11,16/11/2020,,,,73/7,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,,,,495044.368,,237693.277,,,,,654245,IT_SM:IT_SM-M:M1-J13-NB-RMP-RFM-RFM11
MPNB-12,17/11/2020,,,,73/8,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,,,,494953.329,,237728.535,,,,,654242,IT_SM:IT_SM-M:M1-J13-NB-RMP-RFM-RFM12
MPNB-13,24/02/2021,,,,73/9,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,,,,494861.762,,237763.346,,,,,654239,IT_SM:IT_SM-M:M1-J13-NB-RMP-RFM-RFM13
MPNB-14,16/11/2020,,,,74/0,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,,,,494767.66,,237799.385,,,,,654236,IT_SM:IT_SM-M:M1-J13-NB-RMP-RFM-RFM14
MPNB-15,17/11/2020,,,,74/1,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,,,,494673.313,,237835.359,,,,,654233,IT_SM:IT_SM-M:M1-J13-NB-RMP-RFM-RFM15
MPNB-16,12/01/2021,,,,74/2,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,,,,494582.751,,237869.847,,,,,654230,IT_SM:IT_SM-M:M1-J13-NB-RMP-RFM-RFM16
MPNB-17,12/01/2021,,,,74/3,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,,,,494489.313,,237905.479,,,,,654227,IT_SM:IT_SM-M:M1-J13-NB-RMP-RFM-RFM17
MPNB-18,17/11/2020,,,,74/4,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,,,,494398.744,,237940.017,,,,,654224,IT_SM:IT_SM-M:M1-J13-NB-RMP-RFM-RFM18
MPNB-19,12/01/2021,,,,74/5,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,,,,494299.686,,237977.711,,,,,654221,IT_SM:IT_SM-M:M1-J13-NB-RMP-RFM-RFM19
MPNB-20,20/01/2021,,,,74/6,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,,,,494204.551,,238009.013,,,,,654218,IT_SM:IT_SM-M:M1-J13-NB-RMP-RFM-RFM20
MPNB-21,17/11/2020,,,,74/7,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,,,,494112.021,,238049.046,,,,,654215,IT_SM:IT_SM-M:M1-J13-NB-RMP-RFM-RFM21
MPNB-22,16/11/2020,,,,74/8,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,,,,494019.833,,238084.075,,,,,654212,IT_SM:IT_SM-M:M1-J13-NB-RMP-RFM-RFM22
MPNB-23,24/02/2021,,,,74/9,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,,,,493921.152,,238121.884,,,,,654209,IT_SM:IT_SM-M:M1-J13-NB-RMP-RFM-RFM23
MPNB-24,20/01/2021,,,,75/0,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,,,,493826.831,,238157.782,,,,,654206,IT_SM:IT_SM-M:M1-J13-NB-RMP-RFM-RFM24
MPNB-25,19/01/2021,,,,75/1,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,,,,493735.176,,238192.603,,,,,654203,IT_SM:IT_SM-M:M1-J13-NB-RMP-RFM-RFM25
MPNB-26,24/02/2021,,,,75/2,,OTHER,,,BLAKEDALE,,DISTANCE MARKER POST,,,,493648.324,,238226.591,,,,,656239,IT_SM:IT_SM-M:M1-J13-NB-RMP-RFM-RFM26
MPNB-27,17/11/2020,,,,75/3,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,,,,493557.609,,238265.242,,,,,654197,IT_SM:IT_SM-M:M1-J13-NB-RMP-RFM-RFM27
MPNB-28,12/01/2021,,,,75/4,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,,,,493469.181,,238305.484,,,,,654194,IT_SM:IT_SM-M:M1-J13-NB-RMP-RFM-RFM28
MPNB-29,17/11/2020,,,,75/5,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,,,,493382.118,,238347.792,,,,,654191,IT_SM:IT_SM-M:M1-J13-NB-RMP-RFM-RFM29
MPNB-30,17/11/2020,,,,75/6,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,,,,493291.553,,238394.658,,,,,654188,IT_SM:IT_SM-M:M1-J13-NB-RMP-RFM-RFM30
MPNB-31,16/11/2020,,,,75/7,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,,,,493202.167,,238443.647,,,,,654185,IT_SM:IT_SM-M:M1-J13-NB-RMP-RFM-RFM31
MPNB-32,12/01/2021,,,,75/8,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,,,,493113.65,,238496.392,,,,,654182,IT_SM:IT_SM-M:M1-J13-NB-RMP-RFM-RFM32
MPNB-33,17/11/2020,,,,75/9,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,,,,493030.16,,238549.239,,,,,654179,IT_SM:IT_SM-M:M1-J13-NB-RMP-RFM-RFM33
MPNB-34,20/01/2021,,,,76/0,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,,,,492942.508,,238608.072,,,,,654173,IT_SM:IT_SM-M:M1-J13-NB-RMP-RFM-RFM34
MPNB-35,17/11/2020,,,,76/1,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,,,,492862.031,,238664.691,,,,,754673,IT_SM:IT_SM-M:M1-LK01-NB-RMP-RFM-RFM01
MPNB-36,16/11/2020,,,,76/2,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,,,,492777.025,,238720.962,,,,,754670,IT_SM:IT_SM-M:M1-LK01-NB-RMP-RFM-RFM02
MPNB-37,16/11/2020,,,,76/3,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,,,,492698.097,,238782.811,,,,,754667,IT_SM:IT_SM-M:M1-LK01-NB-RMP-RFM-RFM03
MPNB-38,17/11/2020,,,,76/4,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,,,,492617.941,,238840.375,,,,,754664,IT_SM:IT_SM-M:M1-LK01-NB-RMP-RFM-RFM04
MPNB-39,17/11/2020,,,,76/5,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,,,,492536.974,,238898.706,,,,,754661,IT_SM:IT_SM-M:M1-LK01-NB-RMP-RFM-RFM05
MPNB-40,17/11/2020,,,,76/6,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,,,,492457.228,,238955.967,,,,,754658,IT_SM:IT_SM-M:M1-LK01-NB-RMP-RFM-RFM06
MPNB-41,17/11/2020,,,,76/7,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,,,,492373.745,,239016.146,,,,,754655,IT_SM:IT_SM-M:M1-LK01-NB-RMP-RFM-RFM07
MPNB-42,17/11/2020,,,,76/8,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,,,,492293.591,,239073.784,,,,,754652,IT_SM:IT_SM-M:M1-LK01-NB-RMP-RFM-RFM08
MPNB-43,17/11/2020,,,,76/9,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,,,,492211.998,,239132.541,,,,,754649,IT_SM:IT_SM-M:M1-LK01-NB-RMP-RFM-RFM09
MPNB-44,17/11/2020,,,,77/0,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,,,,492131.523,,239190.46,,,,,754646,IT_SM:IT_SM-M:M1-LK01-NB-RMP-RFM-RFM10
MPNB-45,17/11/2020,,,,77/1,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,,,,492048.994,,239249.807,,,,,754643,IT_SM:IT_SM-M:M1-LK01-NB-RMP-RFM-RFM11
MPNB-46,17/11/2020,,,,77/2,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,,,,491966.169,,239309.374,,,,,754640,IT_SM:IT_SM-M:M1-LK01-NB-RMP-RFM-RFM12
MPNB-47,12/01/2021,,,,77/3,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,,,,491883.266,,239369.053,,,,,754637,IT_SM:IT_SM-M:M1-LK01-NB-RMP-RFM-RFM13
MPNB-48,18/11/2020,,,,77/4,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,,,,491800.113,,239428.861,,,,,754634,IT_SM:IT_SM-M:M1-LK01-NB-RMP-RFM-RFM14
MPNB-49,24/02/2021,,,,77/5,,OTHER,,,BLAKEDALE,,DISTANCE MARKER POST,,,,491717.407,,239487.934,,,,,755008,IT_SM:IT_SM-M:M1-LK01-NB-RMP-RFM-RFM15
MPNB-50,17/11/2020,,,,77/6,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,,,,491636.207,,239543.969,,,,,754628,IT_SM:IT_SM-M:M1-LK01-NB-RMP-RFM-RFM16
MPNB-51,19/01/2021,,,,77/7,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,,,,491552.217,,239601.177,,,,,754625,IT_SM:IT_SM-M:M1-LK01-NB-RMP-RFM-RFM17
MPNB-52,17/11/2020,,,,77/8,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,,,,491464.28,,239657.133,,,,,754622,IT_SM:IT_SM-M:M1-LK01-NB-RMP-RFM-RFM18
MPNB-53,18/11/2020,,,,77/9,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,,,,491380.759,,239707.507,,,,,754619,IT_SM:IT_SM-M:M1-LK01-NB-RMP-RFM-RFM19
MPNB-54,12/01/2021,,,,78/0,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,,,,491292.229,,239753.639,,,,,754616,IT_SM:IT_SM-M:M1-LK01-NB-RMP-RFM-RFM20
MPNB-55,12/01/2021,,,,78/1,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,,,,491204.485,,239806.196,,,,,754611,IT_SM:IT_SM-M:M1-LK01-NB-RMP-RFM-RFM21
