Model design id,Date of installation,Departure - DAS ID,Expected service life,Additional information,Location text,Colour,End chainage,End date,Manufacturer,Material,Owner of inventory item,Product name/id,Section,Start chainage,Start date,Type,Easting,Cross section position,Northing,Current maintenance contract,Currently maintained by,Supplier external reference id,System id,Civil 3D element id,Arup reference ID
NB3,19/11/2020,,,,,YELLOW,,,GLASDON FLEXMASTER,OTHER,,UTILITY MARKER POST,,,,OVERHEAD POWER,488141.902,,241543.163,,,,,575989,IT_SM:IT_SM-M:M1-J14-NB-RMP-UTM-UTM01
NB4,11/05/2021,,,,,YELLOW,,,GLASDON FLEXMASTER,OTHER,,UTILITY MARKER POST,,,,OVERHEAD POWER,488120.696,,241558.418,,,,,575980,IT_SM:IT_SM-M:M1-J14-NB-RMP-UTM-UTM02
NB5,11/05/2021,,,,,YELLOW,,,GLASDON FLEXMASTER,OTHER,,UTILITY MARKER POST,,,,OVERHEAD POWER,487341.307,,242186.691,,,,,652014,IT_SM:IT_SM-M:M1-SER-NB-RMP-UTM-UTM01
NB6,12/06/2022,,,,,YELLOW,,,GLASDON FLEXMASTER,OTHER,,UTILITY MARKER POST,,,,OVERHEAD POWER,487320.811,,242203.345,,,,,652011,IT_SM:IT_SM-M:M1-SER-NB-RMP-UTM-UTM02
NB7,12/06/2022,,,,,YELLOW,,,GLASDON FLEXMASTER,OTHER,,UTILITY MARKER POST,,,,OVERHEAD POWER,487180.022,,242319.533,,,,,651994,IT_SM:IT_SM-M:M1-SER-NB-RMP-UTM-UTM03
NB8,11/05/2021,,,,,YELLOW,,,GLASDON FLEXMASTER,OTHER,,UTILITY MARKER POST,,,,OVERHEAD POWER,487146.894,,242346.387,,,,,651991,IT_SM:IT_SM-M:M1-SER-NB-RMP-UTM-UTM04
NB9,11/05/2021,,,,,YELLOW,,,GLASDON FLEXMASTER,OTHER,,UTILITY MARKER POST,,,,OVERHEAD POWER,486591.123,,242811.815,,,,,652003,IT_SM:IT_SM-M:M1-SER-NB-RMP-UTM-UTM05
NB10,11/05/2021,,,,,YELLOW,,,GLASDON FLEXMASTER,OTHER,,UTILITY MARKER POST,,,,OVERHEAD POWER,486570.227,,242828.998,,,,,652006,IT_SM:IT_SM-M:M1-SER-NB-RMP-UTM-UTM06
SB7,05/08/2021,,,,,YELLOW,,,GLASDON FLEXMASTER,OTHER,,UTILITY MARKER POST,,,,OVERHEAD POWER,486622.364,,242832.511,,,,,652000,IT_SM:IT_SM-M:M1-SER-SB-RMP-UTM-UTM01
SB8,05/08/2021,,,,,YELLOW,,,GLASDON FLEXMASTER,OTHER,,UTILITY MARKER POST,,,,OVERHEAD POWER,486642.556,,242814.455,,,,,651997,IT_SM:IT_SM-M:M1-SER-SB-RMP-UTM-UTM02
SB9,05/08/2021,,,,,YELLOW,,,GLASDON FLEXMASTER,OTHER,,UTILITY MARKER POST,,,,OVERHEAD POWER,487172.833,,242375.938,,,,,651988,IT_SM:IT_SM-M:M1-SER-SB-RMP-UTM-UTM03
SB10,04/08/2021,,,,,YELLOW,,,GLASDON FLEXMASTER,OTHER,,UTILITY MARKER POST,,,,OVERHEAD POWER,487208.632,,242347.279,,,,,651985,IT_SM:IT_SM-M:M1-SER-SB-RMP-UTM-UTM04
SB11,04/08/2021,,,,,YELLOW,,,GLASDON FLEXMASTER,OTHER,,UTILITY MARKER POST,,,,OVERHEAD POWER,487333.405,,242243.648,,,,,652020,IT_SM:IT_SM-M:M1-SER-SB-RMP-UTM-UTM05
SB12,25/08/2021,,,,,YELLOW,,,GLASDON FLEXMASTER,OTHER,,UTILITY MARKER POST,,,,OVERHEAD POWER,487354.328,,242226.238,,,,,652017,IT_SM:IT_SM-M:M1-SER-SB-RMP-UTM-UTM06
SB13,25/08/2021,,,,,YELLOW,,,GLASDON FLEXMASTER,OTHER,,UTILITY MARKER POST,,,,OVERHEAD POWER,488144.2733,,241589.258,,,,,"575983, 762122",IT_SM:IT_SM-M:M1-J14-SB-RMP-UTM-UTM01
SB14,26/08/2021,,,,,YELLOW,,,GLASDON FLEXMASTER,OTHER,,UTILITY MARKER POST,,,,OVERHEAD POWER,488161.8641,,241576.509,,,,,575986,IT_SM:IT_SM-M:M1-J14-SB-RMP-UTM-UTM02
NB11,12/06/2022,,,,,YELLOW,,,GLASDON FLEXMASTER,OTHER,,UTILITY MARKER POST,,,,OVERHEAD POWER,480541.507,,248824.484,,,,,581206,IT_SM:IT_SM-M:M1-LK02-NB-RMP-UTM-UTM01
NB12,12/06/2022,,,,,YELLOW,,,GLASDON FLEXMASTER,OTHER,,UTILITY MARKER POST,,,,OVERHEAD POWER,480523.282,,248842.715,,,,,581203,IT_SM:IT_SM-M:M1-LK02-NB-RMP-UTM-UTM02
SB5,12/06/2022,,,,,YELLOW,,,GLASDON FLEXMASTER,OTHER,,UTILITY MARKER POST,,,,OVERHEAD POWER,480535.832,,248879.171,,,,,581197,IT_SM:IT_SM-M:M1-LK02-SB-RMP-UTM-UTM01
SB6,12/06/2022,,,,,YELLOW,,,GLASDON FLEXMASTER,OTHER,,UTILITY MARKER POST,,,,OVERHEAD POWER,480554.823,,248860.185,,,,,581200,IT_SM:IT_SM-M:M1-LK02-SB-RMP-UTM-UTM02
WMMPNB-1,24/02/2021,,,,,YELLOW,,,BLAKEDALE,PLASTIC,,WINTER MAINTENANCE MARKER POST,,,,,494287.501,,237982.359,,,,,655313,IT_SM:IT_SM-M:M1-J13-NB-RMP-UTM-UTM01
WMMPNB-3,09/03/2021,,,,,YELLOW,,,BLAKEDALE,PLASTIC,,WINTER MAINTENANCE MARKER POST,,,,,491376.617,,239709.206,,,,,754728,IT_SM:IT_SM-M:M1-LK01-NB-RMP-UTM-UTM01
WMMPNB-4,19/11/2020,,,,,YELLOW,,,BLAKEDALE,PLASTIC,,WINTER MAINTENANCE MARKER POST,,,,,489169.376,,240851.021,,,,,576102,IT_SM:IT_SM-M:M1-J14-NB-RMP-UTM-UTM03
WMMPNB-5,05/08/2021,,,,,YELLOW,,,BLAKEDALE,PLASTIC,,WINTER MAINTENANCE MARKER POST,,,,,488358.791,,241398.357,,,,,575905,IT_SM:IT_SM-M:M1-J14-NB-RMP-UTM-UTM04
WMMPNB-6,19/11/2020,,,,,YELLOW,,,BLAKEDALE,PLASTIC,,WINTER MAINTENANCE MARKER POST,,,,,487487.086,,242070.577,,,,,575902,IT_SM:IT_SM-M:M1-J14-NB-RMP-UTM-UTM05
