Model design id,Date of installation,Departure - DAS ID,Expected service life,Additional information,Access code,Location text,End chainage,End date,Illuminated,Manufacturer,Material,Owner of inventory item,Arup reference ID
HMPSB-6,15/07/2022,,,,,,,,NO,GLASDON VERGEMASTER,OTHER,,IT_SM:IT_SM-M:M1-LK03-SB-RTS-BOL-BOL06
HMPSB-7,30/09/2022,,,,,,,,NO,GLASDON VERGEMASTER,OTHER,,IT_SM:IT_SM-M:M1-LK03-SB-RTS-BOL-BOL07
HMPSB-8,30/09/2022,,,,,,,,NO,GLASDON VERGEMASTER,OTHER,,IT_SM:IT_SM-M:M1-LK03-SB-RTS-BOL-BOL08
HMPSB-9,30/09/2022,,,,,,,,NO,GLASDON VERGEMASTER,OTHER,,IT_SM:IT_SM-M:M1-LK03-SB-RTS-BOL-BOL09
HMPSB-61,30/10/2022,,,,,,,,NO,GLASDON VERGEMASTER,OTHER,,IT_SM:IT_SM-M:M1-LK03-SB-RTS-BOL-BOL10
HMPSB-62,30/10/2022,,,,,,,,NO,GLASDON VERGEMASTER,OTHER,,IT_SM:IT_SM-M:M1-LK03-SB-RTS-BOL-BOL11
HMPSB-63,30/10/2022,,,,,,,,NO,GLASDON VERGEMASTER,OTHER,,IT_SM:IT_SM-M:M1-LK03-SB-RTS-BOL-BOL12
HMPSB-10,30/10/2022,,,,,,,,NO,GLASDON VERGEMASTER,OTHER,,IT_SM:IT_SM-M:M1-J15A-SB-RTS-BOL-BOL01
HMPSB-11,30/10/2022,,,,,,,,NO,GLASDON VERGEMASTER,OTHER,,IT_SM:IT_SM-M:M1-J15A-SB-RTS-BOL-BOL02
HMPSB-12,30/10/2022,,,,,,,,NO,GLASDON VERGEMASTER,OTHER,,IT_SM:IT_SM-M:M1-J15A-SB-RTS-BOL-BOL03
HMPSB-13,20/10/2022,,,,,,,,NO,GLASDON VERGEMASTER,OTHER,,IT_SM:IT_SM-M:M1-J15A-SB-RTS-BOL-BOL04
HMPSB-14,20/10/2022,,,,,,,,NO,GLASDON VERGEMASTER,OTHER,,IT_SM:IT_SM-M:M1-J15A-SB-RTS-BOL-BOL05
HMPSB-15,20/10/2022,,,,,,,,NO,GLASDON VERGEMASTER,OTHER,,IT_SM:IT_SM-M:M1-J15A-SB-RTS-BOL-BOL06
HMPSB-16,20/10/2022,,,,,,,,NO,GLASDON VERGEMASTER,OTHER,,IT_SM:IT_SM-M:M1-J14-SB-RTS-BOL-BOL04
HMPSB-17,20/10/2022,,,,,,,,NO,GLASDON VERGEMASTER,OTHER,,IT_SM:IT_SM-M:M1-J14-SB-RTS-BOL-BOL05
HMPSB-19,20/08/2021,,,,,,,,NO,GLASDON VERGEMASTER,OTHER,,IT_SM:IT_SM-M:M1-LK02-SB-RTS-BOL-BOL13
HMPSB-20,20/08/2021,,,,,,,,NO,GLASDON VERGEMASTER,OTHER,,IT_SM:IT_SM-M:M1-LK02-SB-RTS-BOL-BOL14
HMPSB-21,20/08/2021,,,,,,,,NO,GLASDON VERGEMASTER,OTHER,,IT_SM:IT_SM-M:M1-LK02-SB-RTS-BOL-BOL15
HMPSB-64,28/05/2022,,,,,,,,NO,GLASDON VERGEMASTER,OTHER,,IT_SM:IT_SM-M:M1-LK02-SB-RTS-BOL-BOL16
HMPSB-65,28/05/2022,,,,,,,,NO,GLASDON VERGEMASTER,OTHER,,IT_SM:IT_SM-M:M1-LK02-SB-RTS-BOL-BOL17
HMPSB-22,20/08/2021,,,,,,,,NO,GLASDON VERGEMASTER,OTHER,,IT_SM:IT_SM-M:M1-LK02-SB-RTS-BOL-BOL18
HMPSB-23,20/08/2021,,,,,,,,NO,GLASDON VERGEMASTER,OTHER,,IT_SM:IT_SM-M:M1-LK02-SB-RTS-BOL-BOL19
HMPSB-24,20/08/2021,,,,,,,,NO,GLASDON VERGEMASTER,OTHER,,IT_SM:IT_SM-M:M1-LK02-SB-RTS-BOL-BOL20
HMPSB-67,10/05/2022,,,,,,,,NO,GLASDON VERGEMASTER,OTHER,,IT_SM:IT_SM-M:M1-LK02-SB-RTS-BOL-BOL21
HMPSB-68,10/05/2022,,,,,,,,NO,GLASDON VERGEMASTER,OTHER,,IT_SM:IT_SM-M:M1-LK02-SB-RTS-BOL-BOL22
HMPSB-69,10/05/2022,,,,,,,,NO,GLASDON VERGEMASTER,OTHER,,IT_SM:IT_SM-M:M1-LK02-SB-RTS-BOL-BOL23
HMPSB-25,17/01/2022,,,,,,,,NO,GLASDON VERGEMASTER,OTHER,,IT_SM:IT_SM-M:M1-LK02-SB-RTS-BOL-BOL24
HMPSB-26,21/09/2021,,,,,,,,NO,GLASDON VERGEMASTER,OTHER,,IT_SM:IT_SM-M:M1-LK02-SB-RTS-BOL-BOL25
HMPSB-27,21/09/2021,,,,,,,,NO,GLASDON VERGEMASTER,OTHER,,IT_SM:IT_SM-M:M1-LK02-SB-RTS-BOL-BOL26
