Passively safe,Product name/id,Section,Start chainage,Start date,TSRGD diagram number,Type,Easting,Cross section position,Northing,Current maintenance contract,Currently maintained by,Supplier external reference id,Arup reference ID
YES,HAZARD MARKER POST,,,,561,SELF RIGHTING,494178.247,,238020.705,,,,IT_SM:IT_SM-M:M1-J13-NB-RTS-BOL-BOL01
YES,HAZARD MARKER POST,,,,561,SELF RIGHTING,494169.532,,238024.978,,,,IT_SM:IT_SM-M:M1-J13-NB-RTS-BOL-BOL02
YES,HAZARD MARKER POST,,,,561,SELF RIGHTING,494160.336,,238029.418,,,,IT_SM:IT_SM-M:M1-J13-NB-RTS-BOL-BOL03
YES,HAZARD MARKER POST,,,,561,SELF RIGHTING,492765.127,,238730.977,,,,IT_SM:IT_SM-M:M1-LK01-NB-RTS-BOL-BOL01
YES,HAZARD MARKER POST,,,,561,SELF RIGHTING,492756.648,,238738.322,,,,IT_SM:IT_SM-M:M1-LK01-NB-RTS-BOL-BOL02
YES,HAZARD MARKER POST,,,,561,SELF RIGHTING,492749.258,,238744.53,,,,IT_SM:IT_SM-M:M1-LK01-NB-RTS-BOL-BOL03
YES,HAZARD MARKER POST,,,,561,SELF RIGHTING,491275.382,,239764.326,,,,IT_SM:IT_SM-M:M1-LK01-NB-RTS-BOL-BOL04
YES,HAZARD MARKER POST,,,,561,SELF RIGHTING,491267.692,,239769.592,,,,IT_SM:IT_SM-M:M1-LK01-NB-RTS-BOL-BOL05
YES,HAZARD MARKER POST,,,,561,SELF RIGHTING,491258.955,,239775.533,,,,IT_SM:IT_SM-M:M1-LK01-NB-RTS-BOL-BOL06
YES,HAZARD MARKER POST,,,,561,SELF RIGHTING,489068.204,,240917.957,,,,IT_SM:IT_SM-M:M1-J14-NB-RTS-BOL-BOL01
YES,HAZARD MARKER POST,,,,561,SELF RIGHTING,489061.399,,240923.482,,,,IT_SM:IT_SM-M:M1-J14-NB-RTS-BOL-BOL02
YES,HAZARD MARKER POST,,,,561,SELF RIGHTING,489053.624,,240930.05,,,,IT_SM:IT_SM-M:M1-J14-NB-RTS-BOL-BOL03
