System id,Civil 3D element id,Arup reference ID
,568242,IT_SM:IT_SM-M:M1-LK03-SB-RTS-BOL-BOL06
,568224,IT_SM:IT_SM-M:M1-LK03-SB-RTS-BOL-BOL07
,568227,IT_SM:IT_SM-M:M1-LK03-SB-RTS-BOL-BOL08
,568230,IT_SM:IT_SM-M:M1-LK03-SB-RTS-BOL-BOL09
,568206,IT_SM:IT_SM-M:M1-LK03-SB-RTS-BOL-BOL10
,568209,IT_SM:IT_SM-M:M1-LK03-SB-RTS-BOL-BOL11
,568212,IT_SM:IT_SM-M:M1-LK03-SB-RTS-BOL-BOL12
,568861,IT_SM:IT_SM-M:M1-J15A-SB-RTS-BOL-BOL01
,568864,IT_SM:IT_SM-M:M1-J15A-SB-RTS-BOL-BOL02
,568867,IT_SM:IT_SM-M:M1-J15A-SB-RTS-BOL-BOL03
,568771,IT_SM:IT_SM-M:M1-J15A-SB-RTS-BOL-BOL04
,568774,IT_SM:IT_SM-M:M1-J15A-SB-RTS-BOL-BOL05
,568777,IT_SM:IT_SM-M:M1-J15A-SB-RTS-BOL-BOL06
,575867,IT_SM:IT_SM-M:M1-J14-SB-RTS-BOL-BOL04
,575864,IT_SM:IT_SM-M:M1-J14-SB-RTS-BOL-BOL05
,765090,IT_SM:IT_SM-M:M1-LK02-SB-RTS-BOL-BOL13
,765093,IT_SM:IT_SM-M:M1-LK02-SB-RTS-BOL-BOL14
,765096,IT_SM:IT_SM-M:M1-LK02-SB-RTS-BOL-BOL15
,765072,IT_SM:IT_SM-M:M1-LK02-SB-RTS-BOL-BOL16
,"765075, 765078",IT_SM:IT_SM-M:M1-LK02-SB-RTS-BOL-BOL17
,765052,IT_SM:IT_SM-M:M1-LK02-SB-RTS-BOL-BOL18
,765055,IT_SM:IT_SM-M:M1-LK02-SB-RTS-BOL-BOL19
,765058,IT_SM:IT_SM-M:M1-LK02-SB-RTS-BOL-BOL20
,765034,IT_SM:IT_SM-M:M1-LK02-SB-RTS-BOL-BOL21
,765037,IT_SM:IT_SM-M:M1-LK02-SB-RTS-BOL-BOL22
,765040,IT_SM:IT_SM-M:M1-LK02-SB-RTS-BOL-BOL23
,765026,IT_SM:IT_SM-M:M1-LK02-SB-RTS-BOL-BOL24
,765023,IT_SM:IT_SM-M:M1-LK02-SB-RTS-BOL-BOL25
,765020,IT_SM:IT_SM-M:M1-LK02-SB-RTS-BOL-BOL26
