Model design id,Date of installation,Departure - DAS ID,Expected service life,Additional information,Access code,Location text,Colour,End chainage,End date,Manufacturer,Owner of inventory item,Product name/id,Arup reference ID
MPSB-211,18/01/2022,,,,89/2,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,IT_SM:IT_SM-M:M1-LK02-SB-RMP-RFM-RFM46
MPSB-212,16/12/2021,,,,89/1,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,IT_SM:IT_SM-M:M1-LK02-SB-RMP-RFM-RFM47
MPSB-213,16/12/2021,,,,89/0,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,IT_SM:IT_SM-M:M1-LK02-SB-RMP-RFM-RFM48
MPSB-214,16/12/2021,,,,88/9,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,IT_SM:IT_SM-M:M1-LK02-SB-RMP-RFM-RFM49
MPSB-215,17/03/2022,,,,88/8,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,IT_SM:IT_SM-M:M1-LK02-SB-RMP-RFM-RFM50
MPSB-216,16/12/2021,,,,88/7,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,IT_SM:IT_SM-M:M1-LK02-SB-RMP-RFM-RFM51
MPSB-217,16/12/2021,,,,88/6,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,IT_SM:IT_SM-M:M1-LK02-SB-RMP-RFM-RFM52
MPSB-218,11/06/2022,,,,88/5,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,IT_SM:IT_SM-M:M1-LK02-SB-RMP-RFM-RFM53
MPSB-219,16/12/2021,,,,88/4,,OTHER,,,BLAKEDALE,,DISTANCE MARKER POST,IT_SM:IT_SM-M:M1-LK02-SB-RMP-RFM-RFM54
MPSB-220,16/12/2021,,,,88/3,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,IT_SM:IT_SM-M:M1-LK02-SB-RMP-RFM-RFM55
MPSB-221,16/12/2021,,,,88/2,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,IT_SM:IT_SM-M:M1-LK02-SB-RMP-RFM-RFM56
MPSB-222,18/01/2022,,,,88/1,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,IT_SM:IT_SM-M:M1-LK02-SB-RMP-RFM-RFM57
MPSB-223,18/01/2022,,,,88/0,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,IT_SM:IT_SM-M:M1-LK02-SB-RMP-RFM-RFM58
MPSB-224,20/10/2022,,,,87/9,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,IT_SM:IT_SM-M:M1-LK02-SB-RMP-RFM-RFM59
MPSB-225,18/01/2022,,,,87/8,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,IT_SM:IT_SM-M:M1-LK02-SB-RMP-RFM-RFM60
MPSB-226,16/12/2021,,,,87/7,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,IT_SM:IT_SM-M:M1-LK02-SB-RMP-RFM-RFM61
MPSB-227,16/12/2021,,,,87/6,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,IT_SM:IT_SM-M:M1-LK02-SB-RMP-RFM-RFM62
MPSB-228,16/12/2021,,,,87/5,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,IT_SM:IT_SM-M:M1-LK02-SB-RMP-RFM-RFM63
MPSB-229,16/12/2021,,,,87/4,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,IT_SM:IT_SM-M:M1-LK02-SB-RMP-RFM-RFM64
