Section,Start chainage,Start date,Easting,Cross section position,Northing,Current maintenance contract,Currently maintained by,Supplier external reference id,System id,Civil 3D element id,Arup reference ID
,,,482712.476,,246772.992,,,,,588302,IT_SM:IT_SM-M:M1-LK02-SB-RMP-RFM-RFM46
,,,482799.363,,246708.405,,,,,588305,IT_SM:IT_SM-M:M1-LK02-SB-RMP-RFM-RFM47
,,,482872.394,,246654.164,,,,,588308,IT_SM:IT_SM-M:M1-LK02-SB-RMP-RFM-RFM48
,,,482955.839,,246592.214,,,,,588311,IT_SM:IT_SM-M:M1-LK02-SB-RMP-RFM-RFM49
,,,483033.758,,246534.489,,,,,588314,IT_SM:IT_SM-M:M1-LK02-SB-RMP-RFM-RFM50
,,,483121.941,,246468.788,,,,,588317,IT_SM:IT_SM-M:M1-LK02-SB-RMP-RFM-RFM51
,,,483197.332,,246412.779,,,,,588320,IT_SM:IT_SM-M:M1-LK02-SB-RMP-RFM-RFM52
,,,483275.976,,246354.411,,,,,588323,IT_SM:IT_SM-M:M1-LK02-SB-RMP-RFM-RFM53
,,,483350.663,,246298.465,,,,,775410,IT_SM:IT_SM-M:M1-LK02-SB-RMP-RFM-RFM54
,,,483438.605,,246233.567,,,,,588329,IT_SM:IT_SM-M:M1-LK02-SB-RMP-RFM-RFM55
,,,483517.227,,246175.178,,,,,588332,IT_SM:IT_SM-M:M1-LK02-SB-RMP-RFM-RFM56
,,,483596.893,,246116.118,,,,,588335,IT_SM:IT_SM-M:M1-LK02-SB-RMP-RFM-RFM57
,,,483677.605,,246056.069,,,,,588338,IT_SM:IT_SM-M:M1-LK02-SB-RMP-RFM-RFM58
,,,483766.567,,245990.067,,,,,588341,IT_SM:IT_SM-M:M1-LK02-SB-RMP-RFM-RFM59
,,,483837.719,,245936.98,,,,,588344,IT_SM:IT_SM-M:M1-LK02-SB-RMP-RFM-RFM60
,,,483921.344,,245878.203,,,,,588347,IT_SM:IT_SM-M:M1-LK02-SB-RMP-RFM-RFM61
,,,484000.763,,245816.017,,,,,588350,IT_SM:IT_SM-M:M1-LK02-SB-RMP-RFM-RFM62
,,,484080.696,,245756.638,,,,,588353,IT_SM:IT_SM-M:M1-LK02-SB-RMP-RFM-RFM63
,,,484163.109,,245695.465,,,,,588356,IT_SM:IT_SM-M:M1-LK02-SB-RMP-RFM-RFM64
,,,484240.633,,245637.872,,,,,588359,IT_SM:IT_SM-M:M1-LK02-SB-RMP-RFM-RFM65
,,,484321.219,,245577.252,,,,,588362,IT_SM:IT_SM-M:M1-LK02-SB-RMP-RFM-RFM66
,,,484404.278,,245510.99,,,,,588365,IT_SM:IT_SM-M:M1-LK02-SB-RMP-RFM-RFM67
,,,484481.823,,245446.772,,,,,588368,IT_SM:IT_SM-M:M1-LK02-SB-RMP-RFM-RFM68
,,,479404.842,,250503.227,,,,,581003,IT_SM:IT_SM-M:M1-LK02-NB-RMP-RFM-RFM72
,,,479354.749,,250597.163,,,,,581000,IT_SM:IT_SM-M:M1-LK02-NB-RMP-RFM-RFM73
,,,479304.388,,250684.132,,,,,580997,IT_SM:IT_SM-M:M1-LK02-NB-RMP-RFM-RFM74
,,,479253.226,,250771.314,,,,,580994,IT_SM:IT_SM-M:M1-LK02-NB-RMP-RFM-RFM75
,,,479201.565,,250859.328,,,,,580991,IT_SM:IT_SM-M:M1-LK02-NB-RMP-RFM-RFM76
,,,479150.379,,250946.117,,,,,580988,IT_SM:IT_SM-M:M1-LK02-NB-RMP-RFM-RFM77
,,,479099.383,,251032.817,,,,,580985,IT_SM:IT_SM-M:M1-LK02-NB-RMP-RFM-RFM78
,,,479049.29,,251118.581,,,,,764958,IT_SM:IT_SM-M:M1-LK02-NB-RMP-RFM-RFM79
,,,479000.747,,251199.693,,,,,764955,IT_SM:IT_SM-M:M1-LK02-NB-RMP-RFM-RFM80
,,,478943.895,,251292.531,,,,,764952,IT_SM:IT_SM-M:M1-LK02-NB-RMP-RFM-RFM81
,,,478885.87,,251377.527,,,,,764949,IT_SM:IT_SM-M:M1-LK02-NB-RMP-RFM-RFM82
,,,478835.794,,251462.796,,,,,764946,IT_SM:IT_SM-M:M1-LK02-NB-RMP-RFM-RFM83
,,,478780.551,,251546.513,,,,,764943,IT_SM:IT_SM-M:M1-LK02-NB-RMP-RFM-RFM84
,,,478724.109,,251630.029,,,,,764940,IT_SM:IT_SM-M:M1-LK02-NB-RMP-RFM-RFM85
,,,478669.443,,251709.169,,,,,764937,IT_SM:IT_SM-M:M1-LK02-NB-RMP-RFM-RFM86
,,,478610.52,,251792.585,,,,,764934,IT_SM:IT_SM-M:M1-LK02-NB-RMP-RFM-RFM87
,,,478551.965,,251873.535,,,,,764931,IT_SM:IT_SM-M:M1-LK02-NB-RMP-RFM-RFM88
,,,478493.318,,251952.564,,,,,764928,IT_SM:IT_SM-M:M1-LK02-NB-RMP-RFM-RFM89
,,,478433.311,,252032.22,,,,,764925,IT_SM:IT_SM-M:M1-LK02-NB-RMP-RFM-RFM90
,,,478368.471,,252115.977,,,,,764920,IT_SM:IT_SM-M:M1-LK02-NB-RMP-RFM-RFM91
,,,478308.184,,252191.834,,,,,764917,IT_SM:IT_SM-M:M1-LK02-NB-RMP-RFM-RFM92
