Model design id,Date of installation,Departure - DAS ID,Expected service life,Additional information,Location text,Colour,End chainage,End date,Manufacturer,Material,Owner of inventory item,Product name/id,Arup reference ID
NB3,19/11/2020,,,,,YELLOW,,,GLASDON FLEXMASTER,OTHER,,UTILITY MARKER POST,IT_SM:IT_SM-M:M1-J14-NB-RMP-UTM-UTM01
NB4,11/05/2021,,,,,YELLOW,,,GLASDON FLEXMASTER,OTHER,,UTILITY MARKER POST,IT_SM:IT_SM-M:M1-J14-NB-RMP-UTM-UTM02
NB5,11/05/2021,,,,,YELLOW,,,GLASDON FLEXMASTER,OTHER,,UTILITY MARKER POST,IT_SM:IT_SM-M:M1-SER-NB-RMP-UTM-UTM01
NB6,12/06/2022,,,,,YELLOW,,,GLASDON FLEXMASTER,OTHER,,UTILITY MARKER POST,IT_SM:IT_SM-M:M1-SER-NB-RMP-UTM-UTM02
NB7,12/06/2022,,,,,YELLOW,,,GLASDON FLEXMASTER,OTHER,,UTILITY MARKER POST,IT_SM:IT_SM-M:M1-SER-NB-RMP-UTM-UTM03
NB8,11/05/2021,,,,,YELLOW,,,GLASDON FLEXMASTER,OTHER,,UTILITY MARKER POST,IT_SM:IT_SM-M:M1-SER-NB-RMP-UTM-UTM04
NB9,11/05/2021,,,,,YELLOW,,,GLASDON FLEXMASTER,OTHER,,UTILITY MARKER POST,IT_SM:IT_SM-M:M1-SER-NB-RMP-UTM-UTM05
NB10,11/05/2021,,,,,YELLOW,,,GLASDON FLEXMASTER,OTHER,,UTILITY MARKER POST,IT_SM:IT_SM-M:M1-SER-NB-RMP-UTM-UTM06
SB7,05/08/2021,,,,,YELLOW,,,GLASDON FLEXMASTER,OTHER,,UTILITY MARKER POST,IT_SM:IT_SM-M:M1-SER-SB-RMP-UTM-UTM01
SB8,05/08/2021,,,,,YELLOW,,,GLASDON FLEXMASTER,OTHER,,UTILITY MARKER POST,IT_SM:IT_SM-M:M1-SER-SB-RMP-UTM-UTM02
SB9,05/08/2021,,,,,YELLOW,,,GLASDON FLEXMASTER,OTHER,,UTILITY MARKER POST,IT_SM:IT_SM-M:M1-SER-SB-RMP-UTM-UTM03
SB10,04/08/2021,,,,,YELLOW,,,GLASDON FLEXMASTER,OTHER,,UTILITY MARKER POST,IT_SM:IT_SM-M:M1-SER-SB-RMP-UTM-UTM04
SB11,04/08/2021,,,,,YELLOW,,,GLASDON FLEXMASTER,OTHER,,UTILITY MARKER POST,IT_SM:IT_SM-M:M1-SER-SB-RMP-UTM-UTM05
SB12,25/08/2021,,,,,YELLOW,,,GLASDON FLEXMASTER,OTHER,,UTILITY MARKER POST,IT_SM:IT_SM-M:M1-SER-SB-RMP-UTM-UTM06
SB13,25/08/2021,,,,,YELLOW,,,GLASDON FLEXMASTER,OTHER,,UTILITY MARKER POST,IT_SM:IT_SM-M:M1-J14-SB-RMP-UTM-UTM01
SB14,26/08/2021,,,,,YELLOW,,,GLASDON FLEXMASTER,OTHER,,UTILITY MARKER POST,IT_SM:IT_SM-M:M1-J14-SB-RMP-UTM-UTM02
NB11,12/06/2022,,,,,YELLOW,,,GLASDON FLEXMASTER,OTHER,,UTILITY MARKER POST,IT_SM:IT_SM-M:M1-LK02-NB-RMP-UTM-UTM01
NB12,12/06/2022,,,,,YELLOW,,,GLASDON FLEXMASTER,OTHER,,UTILITY MARKER POST,IT_SM:IT_SM-M:M1-LK02-NB-RMP-UTM-UTM02
SB5,12/06/2022,,,,,YELLOW,,,GLASDON FLEXMASTER,OTHER,,UTILITY MARKER POST,IT_SM:IT_SM-M:M1-LK02-SB-RMP-UTM-UTM01
SB6,12/06/2022,,,,,YELLOW,,,GLASDON FLEXMASTER,OTHER,,UTILITY MARKER POST,IT_SM:IT_SM-M:M1-LK02-SB-RMP-UTM-UTM02
WMMPNB-1,24/02/2021,,,,,YELLOW,,,BLAKEDALE,PLASTIC,,WINTER MAINTENANCE MARKER POST,IT_SM:IT_SM-M:M1-J13-NB-RMP-UTM-UTM01
WMMPNB-3,09/03/2021,,,,,YELLOW,,,BLAKEDALE,PLASTIC,,WINTER MAINTENANCE MARKER POST,IT_SM:IT_SM-M:M1-LK01-NB-RMP-UTM-UTM01
WMMPNB-4,19/11/2020,,,,,YELLOW,,,BLAKEDALE,PLASTIC,,WINTER MAINTENANCE MARKER POST,IT_SM:IT_SM-M:M1-J14-NB-RMP-UTM-UTM03
WMMPNB-5,05/08/2021,,,,,YELLOW,,,BLAKEDALE,PLASTIC,,WINTER MAINTENANCE MARKER POST,IT_SM:IT_SM-M:M1-J14-NB-RMP-UTM-UTM04
WMMPNB-6,19/11/2020,,,,,YELLOW,,,BLAKEDALE,PLASTIC,,WINTER MAINTENANCE MARKER POST,IT_SM:IT_SM-M:M1-J14-NB-RMP-UTM-UTM05
WMMPNB-7,21/01/2022,,,,,YELLOW,,,BLAKEDALE,PLASTIC,,WINTER MAINTENANCE MARKER POST,IT_SM:IT_SM-M:M1-SER-NB-RMP-UTM-UTM07
WMMPSB-14,17/03/2022,,,,,YELLOW,,,BLAKEDALE,PLASTIC,,WINTER MAINTENANCE MARKER POST,IT_SM:IT_SM-M:M1-SER-SB-RMP-UTM-UTM07
WMMPSB-15,04/08/2021,,,,,YELLOW,,,BLAKEDALE,PLASTIC,,WINTER MAINTENANCE MARKER POST,IT_SM:IT_SM-M:M1-SER-SB-RMP-UTM-UTM08
WMMPSB-16,04/08/2021,,,,,YELLOW,,,BLAKEDALE,PLASTIC,,WINTER MAINTENANCE MARKER POST,IT_SM:IT_SM-M:M1-J14-SB-RMP-UTM-UTM03
WMMPSB-17,11/03/2021,,,,,YELLOW,,,BLAKEDALE,PLASTIC,,WINTER MAINTENANCE MARKER POST,IT_SM:IT_SM-M:M1-LK01-SB-RMP-UTM-UTM01
WMMPSB-18,11/03/2021,,,,,YELLOW,,,BLAKEDALE,PLASTIC,,WINTER MAINTENANCE MARKER POST,IT_SM:IT_SM-M:M1-LK01-SB-RMP-UTM-UTM02
